delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_80163EC8 -> 0 sibling(s) of class 3b27c13d8d73
delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_8015D01C -> 132 sibling(s) of class 4ea6e9f0cbcd
  delever --apply-body: src/ov_SC03_011/ov_SC03_011_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_012/ov_SC03_012_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_013/ov_SC03_013_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_007/ov_SC03_007_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.18 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_010/ov_SC03_010_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_023/ov_SC03_023_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_028/ov_SC03_028_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_030/ov_SC03_030_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_024/ov_SC03_024_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_029/ov_SC03_029_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.18 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_031/ov_SC03_031_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.15 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_014/ov_SC03_014_jr_801734BC.c:func_80178840 IDENTICAL on 2 object(s) (0.32 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_090/ov_SC03_090_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_089/ov_SC03_089_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_091/ov_SC03_091_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_092/ov_SC03_092_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_094/ov_SC03_094_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_093/ov_SC03_093_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_095/ov_SC03_095_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.20 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_098/ov_SC03_098_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_096/ov_SC03_096_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_097/ov_SC03_097_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.15 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_099/ov_SC03_099_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.23 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_100/ov_SC03_100_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.19 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_103/ov_SC03_103_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_102/ov_SC03_102_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.20 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_101/ov_SC03_101_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.27 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_108/ov_SC03_108_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_104/ov_SC03_104_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.19 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_105/ov_SC03_105_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.15 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_109/ov_SC03_109_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_110/ov_SC03_110_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.23 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_111/ov_SC03_111_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_112/ov_SC03_112_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.20 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_114/ov_SC03_114_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.20 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_113/ov_SC03_113_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.26 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_116/ov_SC03_116_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_115/ov_SC03_115_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.21 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_117/ov_SC03_117_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_121/ov_SC03_121_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.20 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_124/ov_SC03_124_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.20 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_125/ov_SC03_125_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_000/ov_SC04_000_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.20 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_003/ov_SC04_003_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.25 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_002/ov_SC04_002_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.25 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_004/ov_SC04_004_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_005/ov_SC04_005_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.22 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC03_118/ov_SC03_118_jr_801734BC.c:func_80178840 IDENTICAL on 2 object(s) (0.33 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_009/ov_SC04_009_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_007/ov_SC04_007_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_010/ov_SC04_010_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_006/ov_SC04_006_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.25 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_012/ov_SC04_012_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_015/ov_SC04_015_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.19 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_016/ov_SC04_016_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_020/ov_SC04_020_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.18 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_000/ov_SC05_000_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_004/ov_SC05_004_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.24 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_002/ov_SC05_002_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.23 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_006/ov_SC05_006_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_003/ov_SC05_003_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.21 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_001/ov_SC05_001_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_005/ov_SC05_005_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_007/ov_SC05_007_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_008/ov_SC05_008_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_010/ov_SC05_010_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC04_018/ov_SC04_018_jr_801734BC.c:func_80178840 IDENTICAL on 2 object(s) (0.32 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_011/ov_SC05_011_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.21 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_000/ov_SC06_000_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.18 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_017/ov_SC05_017_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.29 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_008/ov_SC06_008_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.18 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC05_018/ov_SC05_018_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.21 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_010/ov_SC06_010_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.24 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_006/ov_SC06_006_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.26 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_011/ov_SC06_011_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_013/ov_SC06_013_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_014/ov_SC06_014_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_015/ov_SC06_015_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_020/ov_SC06_020_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.26 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_016/ov_SC06_016_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_022/ov_SC06_022_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_025/ov_SC06_025_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_024/ov_SC06_024_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_029/ov_SC06_029_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_027/ov_SC06_027_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_032/ov_SC06_032_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.29 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_030/ov_SC06_030_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_033/ov_SC06_033_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_000/ov_SC07_000_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_002/ov_SC07_002_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.19 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_001/ov_SC07_001_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_008/ov_SC07_008_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.17 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_009/ov_SC07_009_jr_801734BC.c:func_80178840 IDENTICAL on 1 object(s) (0.16 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/shared/ov/func_80178840__8d2d864b.h:func_80178840 IDENTICAL on 3 object(s) (0.51 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/shared/ov/func_80178840__9f65edc8.h:func_80178840 IDENTICAL on 2 object(s) (0.41 s) — KEPT, ledgered (rung D, p1)
delever --propagate: 131 of 131 sibling(s) banked, 0 refused
